NU_INSCRICAO,TP_SEXO,TP_FAIXA_ETARIA,TP_COR_RACA,TP_ESCOLA,TP_ENSINO,TP_DEPENDENCIA_ADM_ESC,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,MEDIA_GERAL
210060477325,Masculino,2,Branca,Pública,Ensino Regular,NA,1,1,1,1,454.1,487.8,516.6,557.4,620,D,C,B,B,3,527.1800000000001
210060267403,Feminino,4,Não declarado,Não respondeu,NA,NA,1,1,1,1,559.7,666.1,581.8,663.5,640,B,F,A,D,4,622.22
210058480746,Masculino,3,Parda,Pública,Ensino Regular,Federal,1,1,1,1,563.7,553.8,444.4,463.1,740,D,F,C,D,5,553
210061469249,Masculino,4,Preta,Pública,Ensino Regular,Estadual,1,1,1,1,397.9,417.6,387.1,455.4,400,E,E,C,C,4,411.6
210062054076,Feminino,10,Branca,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,B,A,C,B,2,0
210061058901,Masculino,11,Parda,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,B,D,B,B,1,0
210061088183,Feminino,3,Parda,Não respondeu,NA,NA,1,1,1,1,499.2,569.7,540,629.7,800,C,F,E,D,4,607.72
210061786213,Masculino,2,Branca,Pública,Ensino Regular,NA,0,0,0,0,0,0,0,0,0,D,E,A,A,3,0
210059062888,Feminino,3,Branca,Pública,Ensino Regular,NA,0,1,1,0,0,461.6,484,0,460,C,E,C,B,2,281.12
210059681454,Feminino,3,Parda,Pública,Ensino Regular,NA,1,1,1,1,462.9,508,521.9,531.5,540,H,E,F,B,4,512.86
210060005896,Feminino,2,Parda,Privada,Ensino Regular,Privada,1,1,1,1,573.7,606.1,628,630.9,880,G,F,E,D,4,663.74
210061366815,Feminino,15,Branca,Pública,NA,Estadual,0,0,0,0,0,0,0,0,0,H,D,F,F,9,0
210059403086,Feminino,5,Branca,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,F,G,E,E,3,0
210061152745,Feminino,4,Branca,Não respondeu,NA,NA,1,1,1,1,511,602.2,568.9,487.8,680,G,G,D,D,2,569.98
210061861579,Feminino,2,Branca,Pública,Ensino Regular,Estadual,1,1,1,1,459.5,467.6,487.3,393.8,560,E,E,B,B,4,473.64
